m,width,(a) GEMM_OpenMP,(a) GEMM_OpenMP,(b) GEMM_OpenBLAS,(b) GEMM_OpenBLAS,(c) GEMM_CUDA_global_memory,(c) GEMM_CUDA_global_memory,(d) GEMM_CUDA_shared_memory,(d) GEMM_CUDA_shared_memory,(e) GEMM_cuBLAS,(e) GEMM_cuBLAS,(f) csrSpMM_serial,(f) csrSpMM_serial,(g) csrSpMM_OpenMP,(g) csrSpMM_OpenMP,(h) csrSpMM_CUDA_scalar,(h) csrSpMM_CUDA_scalar,(i) csrSpMM_CUDA_vector,(i) csrSpMM_CUDA_vector,(j) csrSpMM_cuSPARSE,(j) csrSpMM_cuSPARSE
1000,16,0.07591,0.04296,0.00757,0.43083,0.00407,0.80113,0.00421,0.77468,0.00418,0.78061,0.00087,3.76998,0.00086,3.79410,0.00119,2.73150,0.00029,11.18069,0.00015,21.64173
1000,32,0.15506,0.04207,0.01407,0.46353,0.00727,0.89710,0.00735,0.88770,0.01896,0.34408,0.00145,4.48859,0.00122,5.34526,0.00237,2.74830,0.00052,12.55595,0.00029,22.17891
1000,64,0.47552,0.02743,0.02596,0.50255,0.01623,0.80400,0.01623,0.80370,0.02116,0.61667,0.00227,5.75763,0.00228,5.73233,0.00530,2.45921,0.00114,11.46768,0.00065,19.96271
1100,16,0.09109,0.04169,0.00938,0.40499,0.00380,0.99927,0.00392,0.96744,0.00431,0.88143,0.00101,3.77645,0.00100,3.79874,0.00118,3.22700,0.00028,13.65905,0.00014,27.10361
1100,32,0.20112,0.03776,0.01713,0.44344,0.00752,1.01017,0.00756,1.00469,0.01722,0.44113,0.00175,4.34216,0.00131,5.81770,0.00234,3.24659,0.00052,14.73503,0.00028,27.49613
1100,64,0.58851,0.02581,0.03151,0.48203,0.01496,1.01550,0.01493,1.01727,0.01721,0.88251,0.00264,5.74770,0.00262,5.78712,0.00466,3.25634,0.00101,15.02509,0.00055,27.53601
1200,16,0.11031,0.04284,0.01134,0.41679,0.00495,0.95552,0.00499,0.94634,0.00507,0.93270,0.00126,3.76006,0.00125,3.78112,0.00146,3.23611,0.00033,14.21358,0.00016,29.42725
1200,32,0.25737,0.03673,0.02067,0.45737,0.00901,1.04918,0.00902,1.04790,0.01996,0.47345,0.00189,4.99500,0.00161,5.85664,0.00291,3.25293,0.00063,14.96285,0.00032,29.24515
1200,64,0.71535,0.02643,0.03778,0.50033,0.01794,1.05391,0.01784,1.05953,0.01997,0.94681,0.00334,5.65161,0.00334,5.66601,0.00580,3.26095,0.00124,15.29826,0.00066,28.83036
1300,16,0.12854,0.04275,0.01332,0.41264,0.00536,1.02552,0.00547,1.00507,0.00553,0.99326,0.00147,3.73409,0.00146,3.75399,0.00169,3.24364,0.00038,14.27942,0.00018,30.66250
1300,32,0.32939,0.03336,0.02428,0.45256,0.01064,1.03313,0.01072,1.02485,0.02218,0.49544,0.00195,5.64169,0.00195,5.64458,0.00350,3.14262,0.00078,14.04581,0.00037,29.74138
1300,64,0.85274,0.02577,0.04436,0.49548,0.02805,0.78356,0.02810,0.78231,0.02932,0.74954,0.00389,5.64429,0.00396,5.54994,0.00675,3.25502,0.00145,15.20083,0.00075,29.46626
1400,16,0.14817,0.04325,0.01582,0.40517,0.00671,0.95529,0.00682,0.93974,0.00687,0.93236,0.00172,3.73432,0.00133,4.82901,0.00197,3.24971,0.00045,14.31657,0.00020,32.21768
1400,32,0.40705,0.03149,0.02833,0.45239,0.01239,1.03406,0.01245,1.02941,0.02557,0.50126,0.00233,5.49156,0.00230,5.56621,0.00393,3.25996,0.00085,14.99671,0.00041,31.17536
1400,64,0.99503,0.02576,0.05175,0.49533,0.03209,0.79867,0.03258,0.78680,0.03715,0.69004,0.00460,5.57784,0.00459,5.58537,0.00874,2.93243,0.00186,13.81576,0.00092,27.93111
1500,16,0.17128,0.04224,0.01802,0.40143,0.00719,1.00569,0.00729,0.99272,0.00738,0.98034,0.00180,4.02275,0.00129,5.61455,0.00223,3.24785,0.00051,14.18054,0.00022,32.69278
1500,32,0.49353,0.02932,0.03272,0.44227,0.01429,1.01287,0.01430,1.01202,0.03146,0.45999,0.00265,5.46196,0.00266,5.43202,0.00444,3.25970,0.00110,13.17115,0.00046,31.52467
1500,64,1.15085,0.02515,0.05965,0.48514,0.02748,1.05296,0.02737,1.05739,0.03145,0.92027,0.00529,5.47488,0.00528,5.48151,0.00902,3.20967,0.00194,14.95357,0.00094,30.71823
1600,16,0.19486,0.04263,0.02055,0.40432,0.00874,0.95042,0.00881,0.94308,0.00890,0.93334,0.00157,5.29493,0.00150,5.54223,0.00255,3.25319,0.00057,14.69430,0.00025,33.08119
1600,32,0.58533,0.02838,0.03713,0.44740,0.01632,1.01810,0.01628,1.02073,0.03317,0.50093,0.00309,5.37789,0.00307,5.40659,0.00509,3.26405,0.00111,14.94815,0.00052,32.10314
1600,64,1.31976,0.02518,0.06761,0.49144,0.04174,0.79600,0.04130,0.80446,0.04151,0.80051,0.00600,5.53419,0.00601,5.52895,0.01017,3.26864,0.00219,15.18243,0.00117,28.50369
1700,16,0.22172,0.04191,0.02355,0.39461,0.00929,1.00068,0.00943,0.98529,0.00951,0.97742,0.00170,5.45066,0.00169,5.48574,0.00285,3.25577,0.00065,14.40441,0.00028,33.11578
1700,32,0.68302,0.02721,0.05264,0.35304,0.01848,1.00571,0.01854,1.00213,0.03605,0.51557,0.00355,5.23391,0.00353,5.26460,0.00569,3.26544,0.00124,14.93697,0.00058,31.93226
1700,64,1.49756,0.02482,0.07720,0.48148,0.04733,0.78530,0.04133,0.89941,0.03785,0.98199,0.00678,5.47822,0.00679,5.47539,0.01136,3.27055,0.00245,15.20024,0.00119,31.27927
1800,16,0.25208,0.04106,0.02676,0.38679,0.01048,0.98763,0.01112,0.93079,0.01076,0.96229,0.00193,5.36813,0.00190,5.43807,0.00318,3.25883,0.00071,14.61025,0.00031,33.32698
1800,32,0.78615,0.02633,0.04832,0.42847,0.02355,0.87902,0.02750,0.75280,0.05394,0.38383,0.00399,5.19360,0.00395,5.23550,0.00635,3.26253,0.00138,14.99111,0.00064,32.15707
1800,64,1.68780,0.02453,0.10293,0.40228,0.05259,0.78730,0.05213,0.79423,0.04336,0.95490,0.00754,5.49413,0.00751,5.51271,0.01266,3.27163,0.00273,15.14741,0.00133,31.15533
1900,16,0.28100,0.04130,0.02998,0.38707,0.01166,0.99549,0.01176,0.98694,0.01192,0.97361,0.00220,5.28385,0.00218,5.32408,0.00356,3.26005,0.00081,14.40596,0.00035,32.79299
1900,32,0.89123,0.02604,0.05335,0.43509,0.02195,1.05730,0.02191,1.05947,0.04619,0.50247,0.00457,5.07930,0.00462,5.02487,0.00734,3.16031,0.00157,14.79059,0.00073,31.89184
1900,64,1.88619,0.02461,0.09652,0.48093,0.05805,0.79964,0.04566,1.01657,0.04553,1.01954,0.00860,5.39926,0.00846,5.48656,0.01418,3.27280,0.00308,15.08915,0.00153,30.31922
2000,16,0.31488,0.04134,0.03328,0.39117,0.01228,1.06036,0.01235,1.05367,0.01322,0.98510,0.00246,5.28353,0.00245,5.30484,0.00399,3.26170,0.00088,14.80505,0.00039,33.43112
2000,32,1.05521,0.02467,0.07160,0.36361,0.02445,1.06496,0.02434,1.06982,0.05190,0.50162,0.00517,5.03357,0.00510,5.10934,0.00826,3.15036,0.00174,14.92728,0.00081,32.15929
2000,64,2.09735,0.02483,0.10704,0.48648,0.06472,0.80455,0.06402,0.81335,0.05579,0.93333,0.00957,5.44223,0.00957,5.43859,0.01591,3.27386,0.00342,15.21070,0.00187,27.89240
