time,gflops
 0.96200,0.00208
  12.45100,0.00129
  39.69200,0.00136
  35.68800,0.00359
  78.06900,0.00320
  161.39500,0.00268
  257.77000,0.00266
  395.81100,0.00259
  635.37100,0.00229
  783.64800,0.00255
  1209.78600,0.00220
  1530.89700,0.00226
  2280.23900,0.00193
  3205.61400,0.00171
  4520.41500,0.00149
  8886.25800,0.00092
  12391.81400,0.00079
  16928.94600,0.00069
  22877.48700,0.00060
  24356.85100,0.00066

  14.93800,0.00013
  11.70500,0.00137
  10.91200,0.00495
  40.02500,0.00320
  82.34300,0.00304
  122.88300,0.00352
  178.90900,0.00383
  407.28800,0.00251
  369.32700,0.00395
  498.61500,0.00401
  675.53800,0.00394
  887.11900,0.00390
  1707.42300,0.00257
  2111.01200,0.00260
  3110.89400,0.00217
  2751.74000,0.00298
  5295.57600,0.00186
  5181.74300,0.00225
  9536.60500,0.00144
  7362.69400,0.00217

  35.90700,0.00006
  35.90700,0.00045
  35.62400,0.00152
  27.77700,0.00461
  34.56200,0.00723
  319.81600,0.00135
  307.54400,0.00223
  439.75100,0.00233
  475.66900,0.00307
  671.63300,0.00298
  683.38800,0.00390
  1102.91800,0.00313
  1331.48800,0.00330
  1028.45700,0.00534
  1746.67500,0.00386
  1735.49900,0.00472
  2575.06900,0.00382
  2758.71900,0.00423
  3435.55200,0.00399
  3499.90100,0.00457
 time,gflops
 0.88300,0.00227
  10.60000,0.00151
  31.44800,0.00172
  35.52400,0.00360
  78.72900,0.00318
  162.95000,0.00265
  261.17900,0.00263
  400.07900,0.00256
  646.68600,0.00225
  790.44500,0.00253
  1237.41400,0.00215
  1514.07700,0.00228
  2534.22800,0.00173
  4162.50800,0.00132
  8437.99500,0.00080
  10499.20300,0.00078
  18031.82700,0.00054
  17466.77500,0.00067
  72074.40300,0.00019
  75590.15300,0.00021
  0.61000,0.00328
  2.59000,0.00618
  111.88600,0.00048
  231.74100,0.00055
  295.64300,0.00085
  543.44600,0.00079
  710.84000,0.00097
  1115.05200,0.00092
  1426.80100,0.00102
  2002.93800,0.00100
  2622.35400,0.00102
  3357.85300,0.00103
  4945.68200,0.00089
  5805.30800,0.00095
  8788.77600,0.00077
  6940.48200,0.00118
  8959.57000,0.00110
  9616.59800,0.00121
  15625.26100,0.00088
  16146.28900,0.00099
  35.88400,0.00006
  30.67600,0.00052
  31.93600,0.00169
  28.97200,0.00442
  71.16000,0.00351
  471.88200,0.00092
  507.84600,0.00135
  614.15200,0.00167
  743.43600,0.00196
  867.80700,0.00230
  1763.43800,0.00151
  1439.63100,0.00240
  1733.53600,0.00253
  2455.75200,0.00223
  3167.57700,0.00213
  2824.47300,0.00290
  3735.53900,0.00263
  4711.48400,0.00248
  5383.53000,0.00255
  6031.72500,0.00265
 time,gflops
 1.16600,0.00172
  9.23000,0.00173
  35.33600,0.00153
  53.20400,0.00241
  80.91200,0.00309
  191.66300,0.00225
  270.67800,0.00253
  446.20800,0.00229
  783.29200,0.00186
  1000.03100,0.00200
  1537.26700,0.00173
  1736.70300,0.00199
  2810.82500,0.00156
  3089.13000,0.00178
  5521.16100,0.00122
  9337.86100,0.00088
  12468.03700,0.00079
  17130.46800,0.00068
  23351.99400,0.00059
  24028.83500,0.00067
  0.56600,0.00353
  2.51400,0.00636
  11.55800,0.00467
  27.04900,0.00473
  58.59900,0.00427
  110.01200,0.00393
  155.02600,0.00443
  230.72400,0.00444
  414.19700,0.00352
  513.82500,0.00389
  778.03600,0.00342
  1137.95700,0.00304
  2057.04200,0.00214
  2155.03400,0.00255
  3802.80900,0.00178
  3024.05400,0.00271
  5731.47200,0.00171
  5330.16800,0.00219
  9675.23300,0.00142
  6718.04700,0.00238
  22.85500,0.00009
  30.78500,0.00052
  22.69800,0.00238
  4.62600,0.02767
  60.80300,0.00411
  219.40000,0.00197
  270.96500,0.00253
  349.97700,0.00293
  359.28600,0.00406
  427.61200,0.00468
  543.41300,0.00490
  691.52100,0.00500
  807.50000,0.00544
  935.76700,0.00586
  1179.20200,0.00572
  1579.28800,0.00519
  1711.02900,0.00574
  2353.64700,0.00496
  2318.18300,0.00592
  2767.10300,0.00578
 
