10 ,0.00200,C library,5000.00000

10, 0.00500,quicksort_omp,2000.00000

10,0.00200,mergesort_omp,5000.00000

10,1.66300,quicksort_opti, 6.01323

10,0.13500,merge_opti, 74.07407

100 ,0.00500,C library,20000.00000

100, 0.02600,quicksort_omp,3846.15385

100,0.00400,mergesort_omp,25000.00000

100,6.41600,quicksort_opti, 15.58603

100,0.00800,merge_opti, 12500.00000

1000 ,0.11400,C library,8771.92982

1000, 0.64800,quicksort_omp,1543.20988

1000,0.02200,mergesort_omp,45454.54545

1000,0.98400,quicksort_opti, 1016.26016

1000,0.12200,merge_opti, 8196.72131

10000 ,0.27800,C library,35971.22302

10000, 40.57600,quicksort_omp,246.45110

10000,0.16600,mergesort_omp,60240.96386

10000,1.16700,quicksort_opti, 8568.98029

10000,0.07000,merge_opti, 142857.14286

100000 ,2.70000,C library,37037.03704

100000, 3428.07900,quicksort_omp,29.17086

100000,2.02100,mergesort_omp,49480.45522

100000,40.20400,quicksort_opti, 2487.31470

100000,2.45500,merge_opti, 40733.19756

1000000 ,29.55200,C library,33838.65728



1000000,23.22000,mergesort_omp,43066.32214

1000000,133.66300,quicksort_opti, 7481.50199

1000000,13.86500,merge_opti, 72124.05337

10000000 ,301.06900,C library,33214.97730


10000000,270.81000,mergesort_omp,36926.25826






10000000 ,294.30000,C library,33978.93306


10000000,262.36600,mergesort_omp,38114.69474


10000000,93.05300,merge_opti, 107465.63786
