
10 ,0.00300,C library,3333.33333

10, 0.24400,quicksort_omp,40.98361

10,0.00600,mergesort_omp,1666.66667

100 ,0.00600,C library,16666.66667

100, 0.00900,quicksort_omp,11111.11111

100,0.00600,mergesort_omp,16666.66667

1000 ,0.06000,C library,16666.66667

1000, 0.04300,quicksort_omp,23255.81395

1000,0.05200,mergesort_omp,19230.76923

10000 ,0.62400,C library,16025.64103

10000, 0.43500,quicksort_omp,22988.50575

10000,0.55500,mergesort_omp,18018.01802

100000 ,7.74400,C library,12913.22314

100000, 3.71300,quicksort_omp,26932.39968

100000,6.53300,mergesort_omp,15306.90341

1000000 ,91.06000,C library,10981.77026

1000000, 37.84700,quicksort_omp,26422.17349

1000000,58.93500,mergesort_omp,16967.84593

10000000 ,1117.06600,C library,8952.02253

10000000, 417.55100,quicksort_omp,23949.17028

10000000,634.59200,mergesort_omp,15758.15642
