
10 ,0.00200,C library,5000.00000

10,0.00100,mergesort_omp,10000.00000

10,0.89600,merge_opti, 11.16071

100 ,0.00400,C library,25000.00000

100,0.00300,mergesort_omp,33333.33333

100,5.20800,merge_opti, 19.20123

1000 ,0.03200,C library,31250.00000

1000,0.01900,mergesort_omp,52631.57895

1000,5.01400,merge_opti, 199.44156

10000 ,0.26600,C library,37593.98496

10000,0.19700,mergesort_omp,50761.42132

10000,7.66500,merge_opti, 1304.63144

100000 ,2.76600,C library,36153.28995

100000,2.75600,mergesort_omp,36284.47025

100000,8.49600,merge_opti, 11770.24482

1000000 ,26.08900,C library,38330.33079

1000000,22.24700,mergesort_omp,44949.88088

1000000,4.74500,merge_opti, 210748.15595

10000000 ,291.98100,C library,34248.80386

10000000,271.16500,mergesort_omp,36877.91566

10000000,83.88000,merge_opti, 119217.93038
